,Song,Artist,Genre,Lyrics
231,Follow You to Virgie,Tyler Childers,Country,"Back before these calloused hands and all this work We used to sit up at the flats Actin' like we'd live forever Gettin' high and skippin' class  Yeah, I reckon we were heathens But in her eyes we were saints Now you're callin' all the boys home 'Cause heaven's angels carried her away  So I will follow you to Virgie Although it hurts me so To lay to rest this mountain beauty That the Lord's called home I can see her up in glory I can see her through the pines  Back when all us boys were tryin' To make sense of all these strings I can see her in the corner Singin' along to all our crazy dreams So I will follow you to Virgie Although it hurts me so To lay to rest this mountain beauty That the Lord's called home I can see her up in glory I can see her through the pines  I will follow you to Virgie 'Cause that's what us boys are for To help you out when you get weary And you can't go no more  And can't you see her up there, Cody I can see her through the pines Sayin' ""Boys be good""EmbedShare URLCopyEmbedCopy"
232,Long Violent History,Tyler Childers,Country,"It's the worst that it's been since the last time it happened It's happening again right in front of our eyes There's updated footage, wild speculation Tall tales and hearsay and absolute lies  Been passed off as factual, when actually the actual Causes they're awkwardly blocking the way Keeping us all from enjoyin' our evening Shoving its roots through the screens in our face  Now, what would you get if you heard my opinion Conjecturin' on matters that I ain't never dreamed In all my born days as a white boy from Hickman Based on the way that the world's been to mе?  It's called me belligеrent, it's took me for ignorant But it ain't never once made me scared just to be Could you imagine just constantly worryin' Kickin' and fightin', beggin' to breathe?  How many boys could they haul off this mountain Shoot full of holes, cuffed and layin' in the streets 'Til we come into town in a stark ravin' anger Looking for answers and armed to the teeth? Thirty-ought-sixes, Papaw's old pistol How many, you reckon, would it be, four or five? Or would that be the start of a long, violent history Of tucking our tails as we try to abide?  Or would that be the start of a long, violent history Of tucking our tails as we try to abide?EmbedShare URLCopyEmbedCopy"
233,I Swear (to God),Tyler Childers,Country,"I only had a couple drinks last night And a few good hits from an antler pipe And I must admit, I had a few white lines And I don't know what all happened I woke up in the noontime light With a poundin' head, shiner on my eye And I don't know how and I don't why But it feels like fierce abandon  Ah, working on a buildin' outta hand-hewn brimstone Workin' on a buildin' and I'm buildin' on it all alone Well there ain't nobody in my room tonight Goodnight, honey; honey, sleep tight Ma, I swear I'm doin’ all right But when the evenin' comes around I swear to God  Pay no mind to the words I say 'Cause they ain't no 'count anyway I been ramblin' around and led astray By the paths that I been choosin' Cuttin' paths like a forest fire Pupils wider than backhoe tires Throwin' my money on a funeral pyre But it sure feels good abusin' Ah, working on a buildin' outta hand-hewn brimstone Workin' on a buildin' and I'm buildin' on it all alone Well, there ain't nobody in my room tonight Goodnight, honey; honey, sleep tight Ma, I swear I'm doin’ all right But when the evenin' comes around I swear to God  Band's too loud for their Bible thumpin' Feels too good to not count for somethin' Big Sandy rock, Sludge River roll Goddamn! Fire in the hole! Look out, baby, I'm bound to blow I'm bound to blow a gasket Damn good gig, good damn crowd Good God, for cryin' out loud Comin’ off stage I was mighty proud Then I don't know what all happened  Ah, working on a buildin' outta hand-hewn brimstone Workin' on a buildin' and I'm buildin' on it all alone Well there ain't nobody in my room tonight Good night, honey; honey, sleep tight Ma, I swear I'm doing all right But when the evenin' comes around I swear to God I swear to GodEmbedShare URLCopyEmbedCopy"
234,Universal Sound,Tyler Childers,Country,"Up in Pocahontas in the Cranberry Glades Ain’t got bars, nor the charge to call her anyways My mind’s a mile a minute And my thoughts they bark like hounds I focus on my breathing and the universal sound I think about my darlin' girl sleepin' all alone I pray the stars will shoot her all the wishes she can hold On the day that I return I aim to lay her down But right now I am focused on the universal sound I think about tobacco juice and mason jars of shine I think about the vices I’ve let take me over time I recall when I's a baby, I didn’t need nothin' around But a little bitty rattler and the universal sound I'd close my eyes It was all so clear It was all right then It was all right here I focus on my breathin’ and the universal sound I let it take me over from the toenails to the crown Of the body that I’m in till they put me in the ground And I return to the chorus of the universal sound I’ve been up on the mountain And I’ve seen his wondrous grace I’ve sat there on a barstool  and I’ve looked him in the face He seemed a little haggard, but it did not slow him down He was hummin' to the neon of the universal soundEmbedShare URLCopyEmbedCopy"
235,Deadman’s Curve,Tyler Childers,Country,"You can go to hell, my dear You'd probably like it better there With all them boys who thought they could make it Deadman's curve gonna lay them down All the things you put me through Safe to say I'm tired of you Had our times, yeah we had a few But where we gonna be when the pills run out Where we gonna go when the dam breaks loose And the white line fever gets a hold of you How we gonna make it to higher ground If you won't get up and leave I reckon if I chose to stay It'd be better for a few more days But it the end it always rains And honey, you can cause a storm But I'm tired and soakin' wet And hunkered over trying to catch my breath Broke my back and did my best To hold you through the shakes But it's hard to keep floatin' on foundered dream You're takin' in water at crazy speed How can I get to the shore on time If you won't keep afloat My heart was never much on games Let alone the ones you play I've only got one and it's already broken So why you wanna throw it around I wish I had the strength to go But it's a long and hateful road And I just now got to feelin' at home And the frost you put on me Where we gonna go when the dam breaks loose And the white line fever gets a hold of you How we gonna make it to higher ground If you won't get up and leave And it's hard to keep floatin' on foundered dream You're takin' in water at crazy speed How can I get to the shore on time If you won't keep afloat You can go to hell, my dear You'd probably like it better there With all them boys who thought they could make it Deadman's curve gonna lay them down1EmbedShare URLCopyEmbedCopy"
236,Charleston Girl,Tyler Childers,Country,"Charleston girl in a darkened room And you don't know her like I do We took the fire escape to her room And got stone-raging blind Left my money in the trusting hands Of them old Steele Brothers in a 'fastgrass' band One day I'm gonna drive up there And give them half my mind I don't know if it's the wine or the coke That makes her sound like her jaw is broke She's working hard to make some sense But she ain't got a dime I wish to God that I could help her out I wish I knew what she was talkin' bout I wish to God that I could get away But I'm way too drunk to drive All I know is that when I am good and sober I am leavin' West Virginia for a while Don't know why, but every time I cross that river, Lord There's somethin' tears me up and makes me wild Charleston girl with raven hair Bloodshot eyes and skin so fair I believe if I could find my keys I'd try to drive away I never planned to leave so soon I didn't know that he was sweet on you Go ahead and take her Cause she ain't worth the time All I know is that when I am good and sober I am leavin' West Virginia for a while Don't know why but every time I cross that river Lord, there's somethin' tears me up, makes me wild1EmbedShare URLCopyEmbedCopy"
237,Tattoos,Tyler Childers,Country,"I am now the one she left A haunted tale for someone else A little bit about herself Wherever she is sleeping Flint strikes out to pierce the dark Cause a flame from just one spark Fill the room with smoke so harsh She exhales a memory The past is fadin' Over time, but it's still hangin' on for life I'm now her used to be He is now the one she needs He is now the one she leans on She looks out at the sunset On a quilt of rags he holds her tight And they raise a toast of Bulleit Rye Whiskey kills all things in time Like things she don't remember The past is fadin' Over time, but it's still hanging on for life I am now an old headstone And to her grave I'll die alone A testament of how she's grown Wherever she is sleepin' The past is fadin' Over time, but it's still hanging on for life1EmbedShare URLCopyEmbedCopy"
238,Born Again,Tyler Childers,Country,Once I was a dying breed Chewin’ on an ancient leaf Before we took the notion To keep up with the times And leave ‘em all behind Chisel to the paper Tattoos on the ether Fadin’ in the light All the while I'd gorge my gut Come the time then I would rut Runnin’ high and low to find my prehistoric queen To keep me warm till Spring When I'd go out with my friends Graze the land and wonder when I’d see your face again Till the day I met my doom I took one in the boiler room To put food on the table of a dying breed of man Once I was a broken heart And once I tore your heart apart Once my heart put out before I ever got to breathe But my soul returned to seed And come to Earth again Clucking out a livin' as the favorite layin' hen 'Til the day I met my doom A fox got in the chicken coop Doin' all he knew to do to feed a hungry den On and on down the line I’ve swam canals and bore the hide Of plenty births along this ride of being born again Once I was and you were too And we were both the word of truth We built this world together with a loud and mighty bang Lord it sounded like a train And echoed o’er the land And we came up with a game to play of being born againEmbedShare URLCopyEmbedCopy
239,Purgatory,Tyler Childers,Country,"Will you pray for me When the roots of the oak And my ribcage are braidin’ If I can think Lord knows that I will fondly pray for you High on the hill where the fox horns blow And down in the grave where they lay me low Catholic girl, pray for me You’re my only hope for Heaven When I's a boy I’d drink and love and smoke and snort my fill But all the while I kept in mind the Lord’s redeeming grace High on the hill where the fox horns blow And down in the city where the heathens go Catholic girl, pray for me You’re my only hope for Heaven Do you reckon he lets Free Will Boys mope around in purgatory I know that Hell Is just as real as I am surely breathin’ But I’ve heard tale Of a middle ground, I think will work for me When the time has come for changin' worlds I’ll hedge my bets with a Catholic girl Catholic girl, pray for me You’re my only hope for HeavenEmbedShare URLCopyEmbedCopy"
240,Rock Salt and Nails,Tyler Childers,Country,By the banks of the river Where the willows hang down The wild birds they warble With a low moanin' sound Way down in the hollow Where the river runs cold It was there I first listened To the lies that you told Now I lie on my back And I see your sweet face The past I remember Time can't erase And the letters you wrote me They were written in shame And I know that your conscience Still echoes my name Now if the ladies were blackbirds If the ladies were thrushes Well I'd lie there for hours In the chilly cold marshes And if the women were squirrels With them high bushy tails Well I'd load up my shotgun With rock salt and nails I'd load up my shotgun With rock salt and nailsEmbedShare URLCopyEmbedCopy
241,Hard Times,Tyler Childers,Country,"“Hard Times” ‘Bottles & Bibles’ Tyler Childers I bought a house at the mouth of the holler, a ring at the pawn shop, and a crib for the kid I heard some word there was work up in Hindman I'm going tomorrow and hope that there is My sweat and my wages they don't seem to weight out I'm gettin' more aches than I'm gainin' in gold Whoever said you could raise you a family just a'workin' your ass off knee deep in coal? Well the sign at the church says I'll reap what I'm sowin' But I ain't lost sleep because it'll come in due time If the Lord wants to take me I'm here for the taking. ' Cause hell's probably better than tryin' to get by You can see me on the front page It'll be out tomorrow A boy in his 20's, shot down in his prime For trying to hold up the Texaco station They'll say I was desperate They're probably right I bought a house at the mouth of the holler, a ring at the pawn shop, and a crib for the kid I heard some word there was work up in Hindman I'm going tomorrow and hope that there is1EmbedShare URLCopyEmbedCopy"
242,Messed Up Kid,Tyler Childers,Country,"She likes stealin' from Salvation Armies She says it makes her feel like the movies Battin' her eyes with a crooked smile Wonderin' why the hell I'm pissed This ain't like any film that I recall It ain't exactly The Italian Job This kinda shit is for soccer moms Dyin' to be young again  She's dancin' around the room In a cheetah-print body-suit Roll the credits when the scene is through Of the story of a messed up kid  She tells me I got a problem with drinkin' But loves going out on the weekends Throws me the keys with a ""pretty please"" And wonders if I'll drive her home You'd think if she knew my weakness She'd try and help me to beat it That's why I love her so but since Roanoke I don't take her out to shop no more She's dancin' around the room In a cheetah-print body-suit Roll the credits when the scene is through Of the story of a messed up kid  She likes stealin' from Salvation Armies She says it makes her feel like the movies Battin' her eyes with a crooked smile Wonderin' why the hell I'm pissed  She's dancin' around the room In a cheetah-print body-suit Roll the credits when the scene is through Of the story of a messed up kid  She's dancin' around the room In a cheetah-print-body suit Roll the credits when the scene is through Of the story of a messed up kid Roll the credits when the scene is through Of the story of a messed up kidEmbedShare URLCopyEmbedCopy"
243,Coming Down,Tyler Childers,Country,"Don't you wish that you could go back sometimes Don't you wish that you could go back home Tryin' to remember just where it was Remember you ain't alone Remember you ain't alone Every day's another pointless job And every night's another lonesome song Tryin' to remember when your bed wasn't leather And you were the one singin' along Lord, where did we go wrong Now the sky is coming down Can't you see the stars fallin' Have yourself another round Til' you can't hear the darkness callin' Til' you can't hear the darkness call you There was a good man in the makin' once In the light of yesterday Tryin' to remember just who he was Tryin' like hell to recall his name Well it used to be my name Now the sky is coming down Can't you see the stars fallin' Have yourself another round Til' you can't hear the darkness callin' Til' you can't hear the darkness call youEmbedShare URLCopyEmbedCopy"
244,Country Squire,Tyler Childers,Country,"Well tonight, I'm up in Chillicothe Down-wind from the paper mill I’m out here spittin' on the sidewalk Taking in the factory smells Head and nose, she tends to smokin' out the window In the air, that gas pipe leak I wonder if she’s cringing at the same time Thinking pretty thoughts of me  I was up for hours this morning Pulling traps before I said goodbye I plan to tan myself a fox hide And hang it on my darling bride 'Cause they tell me that it's gonna be a big one And the snow is settin' in And I don't want her cold while I ain't at home The way that I have been  Spending my nights in a bar room, Lord Turnin' them songs into two-by-fours Dreaming 'bout the day that I’m sitting by the fire Huddled with my honey in the Country Squire Well tomorrow, we hit the country music highway On our way to Circleville We’re off to do some weekend warring While we sing and drink our fill And when I ain't out playing on my six-string With the nickels I acquire I’m trying to fix her up a castle It's called the Country Squire  It's a 24-foot-long vessel That measures eight feet wide It's a 53-year-old camper It’s made to pull behind And I've gutted to the studs and the rafters And I'm building back piece by piece I'm trying to fix her up a temple My Lady of the Estill Springs  Spending my nights in a bar room, Lord Turnin' them songs into two-by-fours Dreaming 'bout the day that I'll sit by the fire Huddled with my honey in our Country Squire One day, I aim to have myself a family And a cabin on the hill And I might have to come off of the highway To help with the family bills But when the kids have got a little older On the day that I retire I'll take her somewhere warm for the winter Pulling our Country Squire  Spending my nights in a bar room, Lord Turnin' them songs into two-by-fours Dreaming 'bout the day that I'll sit by the fire Huddled with my honey in our Country Squire Dreaming 'bout the day that I'll sit by the fire Huddled with my honey in our Country SquireEmbedShare URLCopyEmbedCopy"
245,Honky Tonk Flame,Tyler Childers,Country,"I was out of my mind the first night we met I was feeling lonely and blue I'd just moved to the country to get me some rest The city can put a hurtin' on you Especially a fella from eastern Kentucky Without a penny or a worth to his name Wasting his life on a burnin' desire And chasing that honky tonk flame You were soft on the eyes and a Hymn on the hearing Leaving me helpless of lines To get you to listen to the way I was feelin' And the plans I had made for our night Hold on now buddy won't ya wait up a minute You're mistaken if you think I'm the same As them skirts you've been chasin' all over town Along with that honky tonk flame I'm a woman with a love so true Truth of the matter I'd give it to you You just got to slow down, quit actin' that way Burnin' your barn in this honky tonk flame You were sweet to the touch And a touch for the takin' The minute I learned how to breathe Finally found out that the love of a woman Who loved me was all that I'd need Still on the road cause I ain't good for nothin' Except writing the songs that I sing Beating them strings like they're owing me money And chasing that honky tonk flame But I got me a woman with a love so true Darlin' to me but that's missus to you All I did was slow down and quit actin' insane Burnin' my barn in this honky tonk flameEmbedShare URLCopyEmbedCopy"
246,Coal,Tyler Childers,Country,"Now God made coal for the men who sold their lives to West Van Lear And you keep on diggin' 'til you get down there where it's darker than your darkest fears And that woman in the kitchen she keeps on cookin' but she ain't had meat in years Just live off bread, live off hope in a pool of a million tears Now let me tell you somethin' 'bout the gospel And make sure that you mark it down When God spoke out ""Let there be light"" He put the first of us in the ground And we'll keep on diggin' 'til the comin' of the Lord And Gabriel's trumpet sounds 'Cause if you ain't minin' for the company boy There ain't much in this town We could've made somethin' of ourselves out there if we'd listened to the folks that knew That coal is gonna bury you Now it's darker than a dungeon And it's deeper than a well So sometimes I imagine That I'm gettin' pretty close to hell And in my darkest hour I cry out to the Lord He says ""Keep on minin' boy 'Cause that's why you were born"" Well we could've made somethin' of ourselves out there if we'd listened to the folks that knew That coal is gonna bury you1EmbedShare URLCopyEmbedCopy"
247,Bottles and Bibles,Tyler Childers,Country,"Bottles and bibles Litter the floor An all night revival Passed out around 4 Now the preacher's been drinkin' But it's hard not to do Since she ran out the screen door And swore they were through Oh Lord, if you care, send a spirit down here Cause the preacher's been drinkin' again But it's a hard way to go, on the straight and narrow When everybody in town points a finger at you But they ain't had to walk with the weight that you've hauled They don't know you at all, but they think that they do He didn't believe her He just knew she'd come home But the nights kept a' crawlin' As he laid there alone And he'd call up to heaven And he'd hope and he'd pray But the line's always busy Since he went astray Oh Lord, if you care, won't you answer his prayers Cause the preacher's been drinkin' again But it's a hard way to go, on the straight and narrow When everybody in town points a finger at you But they ain't had to walk with the weight that you've hauled They don't know you at all, but they think that they do Now the bottles and bibles Broke out in a fight The whiskey fought hard, son And took the victory that night They found him a' layin' Face down by the stairs Dressed up for a sermon Nobody would hear Oh Lord, if you care, send your angels down here Cause the preacher's been drinkin' again But it's a hard way to go, on the straight and narrow When everybody in town points a finger at you But they ain't had to walk with the weight that you've hauled They don't know you at all, but they think that they doEmbedShare URLCopyEmbedCopy"
248,Ever Lovin’ Hand,Tyler Childers,Country,"They got my favorite lotion here Something in a hotel I admire I got the pictures that you sent me And how they fill me with desire Tonight, we've all got our own rooms I’m about to burn mine down 'Cause I miss you somethin' fierce In this quaint New England town I read the texts you whispered plain Everything you aim to do I sure do like the way you think That’s the way I'm thinking too I see it play out in my mind You and I unite as one The van don't leave 'til 10 AM And we've only just begun  This one here goes out to you Lord, wherever you may be When you're reaching for the fruit I pray you'll fondly think of me It gets so hard out on the road But I'm going alone ’cause I’m your man I have got you on my mind And my ever lovin' hand For a moment, you were here Moment passed and you were gone Leavin’ me to clean the mess That you clearly helped to cause When the boys ask how I slept I'll just look 'em in the eye Tell them all you'd come to visit I didn’t get a wink of sleep last night  This one here goes out to you Lord, wherever you may be When you're reaching for the fruit I pray you'll fondly think of me It gets so hard out on the road But I'm going alone 'cause I'm your man I have got you on my mind And my ever lovin' hand It gets so hard out on the road But I'm going alone 'cause I'm your man I have got you on my mind And my ever lovin' handEmbedShare URLCopyEmbedCopy"
249,House Fire,Tyler Childers,Country,"You can set my house on fire, baby You can turn it into cinder and smoke 'Cause this house is mighty cold and I feel like Melting all the snow away  You see these boots I'm wearing They're tough enough to go And they will take many a road to reach you Honey, won't you light the way?  You can set my house on fire, baby You can turn it into cinder and smoke 'Cause this house is mighty cold and I feel like Melting all the snow away  You see this train I'm riding It's burnin' up the coal And its wheels are bound to roll right by you Honey, won't you jump my train?  You can set my house on fire, baby You can turn it into cinder and smoke 'Cause this house is mighty cold and I feel like Melting all the snow away You can set my house on fire, baby You can turn it into cinder and smoke 'Cause this house is mighty cold and I feel like Melting all the snow away You can set my house on fire, babyEmbedShare URLCopyEmbedCopy"
250,Get Along,Kenny Chesney,Country,"Met a man wearin' a T-shirt, says ""Virginia is for lovers"" Had a Bible in his left hand and a bottle in the other He said ""All you're really given is the sunshine and your name"" We both started laughin' when the sky started to rain  Get along, on down the road We've got a long long way to go Scared to live, scared to die We ain't perfect but we try Get along while we can Always give love the upper hand Paint a wall, learn to dance Call your mom, buy a boat Drink a beer, sing a song Make a friend, can't we all get along  Saw a model on a billboard, 1-800 get to know me Wondered was she Photoshopped, or were her eyes really that lonely? Did she leave her hometown thinkin' she'd end up in L.A.? Did she break down in the desert and get stuck beside the highway?  Get along, on down the road We've got a long long way to go Scared to live, scared to die We ain't perfect but we try Get along while we can Always give love the upper hand Paint a wall, learn to dance Call your mom, buy a boat Drink a beer, sing a song Make a friend, can't we all get along You'll find out when you die the keys to Heaven can't be bought We still don't know what love is but we sure know what it's not Sometimes you got to  Get along, on down the road We've got a long long way to go Scared to live, scared to die We ain't perfect but we try Get along while we can Always give love the upper hand Paint a wall, learn to dance Call your mom, buy a boat Drink a beer, sing a song Make a friend, can't we all get along1EmbedShare URLCopyEmbedCopy"
251,Better Boat,Kenny Chesney,Country,"I ain't lonely, but I spend a lot of time alone More than I'd like to, but I’m okay with stayin' home My how the last few months have changed I’m smilin' more despite the pain  I breathe in, I breathe out Got friends to call who let me talk about What ain't workin', what’s still hurtin' All the things I feel like cussin' out Now and then I let it go, I ride the waves I can't control I'm learnin' how to build a better boat  I hate waitin', ain't no patience in these hands I'm not complainin', sometimes it's hard to change a man I think I'm stronger than I was I let God do what he does  I breathe in, I breathe out Got friends to call who let me talk about What ain't workin', what’s still hurtin' All the things I feel like cussin'  out Now and then I let it go, I ride the waves I can't control I'm learnin' how to build a better boat I breathe in, I breathe out Got friends to call who let me talk about What ain't workin', what’s still hurtin' All the things I feel like cussin' out Now and then I let it go, I ride the waves I can't control If it's workin', I don't know, when I get done the thing may not float But I'm learnin' how to build a better boatEmbedShare URLCopyEmbedCopy"
252,American Kids,Kenny Chesney,Country,"Doublewide Quick Stop midnight T-top Jack in her Cherry Coke town Momma and Daddy put their roots right here ‘Cause this is where the car broke down Yellow dawn school bus kickin’ up red dust Pickin’ us up by a barbed wire fence MTV on the RCA, no A/C in the vents  We were Jesus saved me, blue jean baby Born in the USA Trailer park truck stop, faded little map dots New York to LA We were teenage dreamin’, front seat leanin’ Baby, come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin’ up in little pink houses Makin’ out on living room couches Blowin’ that smoke on a Saturday night A little messed up, but we’re all alright  Baptist church parkin’ lot, tryin’ not to get caught Take her home and give her your jacket Makin’ it to second base, but sayin’ you went all the way Monday afternoon at practice Sister's got a boyfriend Daddy doesn’t like Now he’s sittin’ out back, .30-.30 in his lap In the blue bug zapper light We were Jesus saved me, blue jean baby Born in the USA Trailer park truck stop, faded little map dots New York to LA We were teenage dreamin’, front seat leanin’ Baby, come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin’ up in little pink houses Makin’ out on living room couches Blowin’ that smoke on a Saturday night A little messed up, but we’re all alright We were Jesus saved me, blue jean baby Born in the USA Trailer park truck stop, faded little map dots New York to LA We were teenage dreamin’, front seat leanin’ Baby, come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin’ up in little pink houses Makin’ out on living room couches Blowin’ that smoke on a Saturday night A little messed up, but we’re all alright27EmbedShare URLCopyEmbedCopy"
253,Anything But Mine,Kenny Chesney,Country,"Walking alone beneath the lights of that miracle mile Me and Mary making our way into the night You can hear the cries from the carnival rides The pinball bells, ski ball slides Watching the summer sun fall out of sight There's a warm wind coming in from off of the ocean Making it's way past the hotel walls to fill the streets Mary is holding both of her shoes in her hands Said she likes to feel the sand beneath her feet  And in the morning I'm leaving, making my way back to Cleveland So tonight I hope that I will do just fine And I don't see how you could ever be anything but mine  There's a local band playing at the sea side pavilion And I got just enough cash to get us in And as we are dancing Mary's wrapping her arms around me And I can feel the sting of summer on my skin In the midst of the music I tell her I love her We both laugh cause we know it isn't true But Mary there's a summer drawing to an end tonight And there's so much that I long to do to you But in the morning I'm leaving, making my way back to Cleveland So tonight I hope that I will do just fine And I don't see how you could ever be anything but mine  Oo, oo  And in the morning I'm leaving, making my way back to Cleveland So tonight I hope that I will do just fine And I don't see how you could ever be anything but mine Mary I don't see how you could ever be anything but mine  Oo, oo  And in the morning I'm leaving, making my way back to Cleveland So tonight I hope that I will do just fine Hey, I don't see how you could ever be anything but mine4EmbedShare URLCopyEmbedCopy"
254,Wild Child,Kenny Chesney,Country,"Looks like royal in a thrift store dress Keeps my heart and her hair a mess She goes where the wind suggests she goes, who knows Got a spirit that can't be tamed She's a calico pony on an open plain I know I'll never be the same no more, for sure  She's a wild child Got a rebel soul with a whole lot of gypsy wild style She can't be tied down but for a while I'll be falling free and so in love Might break my heart but God she drives me wild child  You've never heard of her favorite band unless you Been to Bonnaroo or Burning Man She's Penny Lane in a Chevy van, she loves to love  She loves me wild child Got a rebel soul with a whole lot of gypsy wild style She can't be tied down but for a while I'll be falling free and so in love Might break my heart but God she drives me wild child She'll be here until she runs Some just have to chase the sun  She's a wild child Got a rebel soul with a whole lot of gypsy wild style She can't be tied down but for a while I'll be falling free and so in love Might break my heart but God she drives me wild child  A kaleidoscope of colors in her mind child A touch of crazy hides behind her wild smile So simple yet experimental Innocent but still a little wild child  Wild child14EmbedShare URLCopyEmbedCopy"
255,Setting the World on Fire,Kenny Chesney,Country,"Yeah we got drunk on La Cienega Boulevard Takin' pictures of people we thought were stars It’s easy to give in to your heart When you’re drunk on La Cienega Boulevard When the song comin' out of the speakers Was the band that you had on your t-shirt We were screamin' cause all the streets were empty And you kissed me, and we were …  Up all night and we were feelin' so good Yeah, we got a little higher than we probably should We were in a hotel singin' in the hallway lights We were strikin' the matches right down to the ashes Setting the world on fire, setting the world on fire  Wrote I love you in lipstick on the mirror We were shoutin' out the window, like they could hear us at the pier Said ""Do you think we’ll live forever?"" As we killed another beer And you wrote I love you in lipstick on the mirror We were laughin' until we were breathless Never felt anything so reckless, we were all lit up and restless And comin' alive and we were… Up all night and we were feelin' so good Yeah, we got a little higher than we probably should We were in a hotel singin' in the hallway lights We were strikin' the matches right down to the ashes Setting the world on fire, setting the world on fire  Oh, yeah, yeah  Yeah, we were up all night and we were feelin' so good Yeah, we got a little higher than we probably should We were in a hotel singin' in the hallway lights We were strikin' the matches right down to the ashes Setting the world on fire, setting the world on fire  World all  on fire We were setting The world all on fire We were setting The world all on fire World all on fire2EmbedShare URLCopyEmbedCopy"
256,When the Sun Goes Down,Kenny Chesney,Country,"Sun tanned toes tickling the sand Cold drink chilling in my right hand Watchin' you sleep in the evening light Resting up for a long, long night  Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes down  All day long just takin' it easy Laying in the hammock where it's nice and breezy Sleeping off the night before Cause when the sun goes down, we'll be back for more  Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes down  This old guitar and my dark sunglasses This sweet concoction is smooth as molasses Nothing to do but breathe all day Until the big moon rises and it's time to play Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes down  We'll be feeling alright When the sun sinks down over the water Uncle Kennys' hotter when the sun goes down  Because when the sun goes down, we'll be grooving When the sun goes down, we'll be feeling all right When the sun sinks down over the water Everything gets hotter when the sun goes downEmbedShare URLCopyEmbedCopy"
257,Come Over,Kenny Chesney,Country,"{Verse 1} I turn the TV off, to turn it on again Staring at the blades of the fan as it spins around Counting every crack, the clock is wide awake Talking to myself, anything to make a sound {Chorus} I told you I wouldn’t call, I told you I wouldn’t care But baby climbing the walls gets me nowhere I don’t think that I can take this bed getting any colder Come over, come over, come over, come over, come over {Verse 2} You can say we’re done the way you always do It’s easier to lie to me than to yourself Forget about your friends, you know they’re gonna say We’re bad for each other, but we ain’t good for anyone else {Chorus} I told you I wouldn’t call, I told you I wouldn’t care But baby climbing the walls gets me nowhere I don’t think that I can take this bed getting any colder Come over, come over, come over, come over, come over {Bridge} We don’t have to miss each other, come over We don’t have to fix each other, come over We don’t have to say forever, come over You don’t have to stay forever, come over {Chorus} I told you I wouldn’t call, I told you I wouldn’t care But baby climbing the walls gets me nowhere I don’t think that I can take this bed getting any colder Come over, come over, come over, come over, come over {Outro} Come over, come over, come over, come over, come over Come over, come over, come over, come over, come over6EmbedShare URLCopyEmbedCopy"
258,All the Pretty Girls,Kenny Chesney,Country,"All the pretty girls said pick me up at eight All the pretty girls said I'm going to L.A All the pretty girls said I hate my hair Talking to the mirror in their underwear All the lost boys said I just got paid All the lost boys said I wanna get laid When the town goes blue and the lights blink red All the lost boys do what all the pretty girls said  I'm home for the summer, shoot out the lights Don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me, all the pretty girls said  All of the whiskey went to my head Shut up and kiss me, all the pretty girls said  All the sheriffs said kid, you better slow down All the preachers said it's the devil's playground I wonder if they knew they were wasting their breath All I ever heard was all the pretty girls said I'm home for the summer, shoot out the lights Don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me, all the pretty girls said  All of the whiskey went to my head Shut up and kiss me, all the pretty girls said  All the seventeens said I'm getting outta dodge All the big dreams said I'm selling all I got All the high rollers busy placing their bets Me, I'm heading south cause all the pretty girls said  I'm home for the summer, shoot out the lights Don't blow my cover, oh I'm free tonight I'm coming over, call all your friends Somebody hold me, all the pretty girls said  All of the whiskey went to my head Shut up and kiss me, all the pretty girls said All the pretty girls said1EmbedShare URLCopyEmbedCopy"
